Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,68,68,54
0,0,0,0,0,1,1,68,68,54
0,0,0,0,1,0,1,68,68,54
0,0,0,0,1,1,1,68,68,54
0,0,0,1,0,0,1,68,68,54
0,0,0,1,0,1,1,68,68,54
0,0,0,1,1,0,1,68,68,54
0,0,0,1,1,1,1,68,68,54
0,0,1,0,0,0,1,68,68,47
0,0,1,0,0,1,1,68,68,47
0,0,1,0,1,0,1,68,68,47
0,0,1,0,1,1,1,68,68,47
0,0,1,1,0,0,1,68,68,47
0,0,1,1,0,1,1,68,68,47
0,0,1,1,1,0,1,68,68,47
0,0,1,1,1,1,1,68,68,47
0,1,0,0,0,0,1,68,68,54
0,1,0,0,0,1,1,68,68,54
0,1,0,0,1,0,1,68,68,54
0,1,0,0,1,1,1,68,68,54
0,1,0,1,0,0,1,68,68,54
0,1,0,1,0,1,1,68,68,54
0,1,0,1,1,0,1,68,68,54
0,1,0,1,1,1,1,68,68,54
0,1,1,0,0,0,1,68,68,47
0,1,1,0,0,1,1,68,68,47
0,1,1,0,1,0,1,68,68,47
0,1,1,0,1,1,1,68,68,47
0,1,1,1,0,0,1,68,68,47
0,1,1,1,0,1,1,68,68,47
0,1,1,1,1,0,1,68,68,47
0,1,1,1,1,1,1,68,68,47
1,0,0,0,0,0,-1,68,68,54
1,0,0,0,0,1,-1,68,68,54
1,0,0,0,1,0,-1,68,68,54
1,0,0,0,1,1,-1,68,68,54
1,0,0,1,0,0,-1,68,68,54
1,0,0,1,0,1,-1,68,68,54
1,0,0,1,1,0,-1,68,68,54
1,0,0,1,1,1,-1,68,68,54
1,0,1,0,0,0,-1,68,68,47
1,0,1,0,0,1,-1,68,68,47
1,0,1,0,1,0,-1,68,68,47
1,0,1,0,1,1,-1,68,68,47
1,0,1,1,0,0,-1,68,68,47
1,0,1,1,0,1,-1,68,68,47
1,0,1,1,1,0,-1,68,68,47
1,0,1,1,1,1,-1,68,68,47
1,1,0,0,0,0,-1,68,68,54
1,1,0,0,0,1,-1,68,68,54
1,1,0,0,1,0,-1,68,68,54
1,1,0,0,1,1,-1,68,68,54
1,1,0,1,0,0,-1,68,68,54
1,1,0,1,0,1,-1,68,68,54
1,1,0,1,1,0,-1,68,68,54
1,1,0,1,1,1,-1,68,68,54
1,1,1,0,0,0,-1,68,68,47
1,1,1,0,0,1,-1,68,68,47
1,1,1,0,1,0,-1,68,68,47
1,1,1,0,1,1,-1,68,68,47
1,1,1,1,0,0,-1,68,68,47
1,1,1,1,0,1,-1,68,68,47
1,1,1,1,1,0,-1,68,68,47
1,1,1,1,1,1,-1,68,68,47
0,-1,1,-1,-1,-1,0,72,72,47
0,-1,0,-1,-1,-1,0,72,72,54
