Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,68,68,68
0,0,0,0,0,1,1,68,68,68
0,0,0,0,1,0,1,68,68,68
0,0,0,0,1,1,1,68,68,68
0,0,0,1,0,0,1,68,68,68
0,0,0,1,0,1,1,68,68,68
0,0,0,1,1,0,1,68,68,68
0,0,0,1,1,1,1,68,68,68
0,0,1,0,0,0,1,68,68,47
0,0,1,0,0,1,1,68,68,47
0,0,1,0,1,0,1,68,68,47
0,0,1,0,1,1,1,68,68,47
0,0,1,1,0,0,1,68,68,47
0,0,1,1,0,1,1,68,68,47
0,0,1,1,1,0,1,68,68,47
0,0,1,1,1,1,1,68,68,47
0,1,0,0,0,0,1,68,68,68
0,1,0,0,0,1,1,68,68,68
0,1,0,0,1,0,1,68,68,68
0,1,0,0,1,1,1,68,68,68
0,1,0,1,0,0,1,68,68,68
0,1,0,1,0,1,1,68,68,68
0,1,0,1,1,0,1,68,68,68
0,1,0,1,1,1,1,68,68,68
0,1,1,0,0,0,1,68,68,47
0,1,1,0,0,1,1,68,68,47
0,1,1,0,1,0,1,68,68,47
0,1,1,0,1,1,1,68,68,47
0,1,1,1,0,0,1,68,68,47
0,1,1,1,0,1,1,68,68,47
0,1,1,1,1,0,1,68,68,47
0,1,1,1,1,1,1,68,68,47
1,0,0,0,0,0,-1,60,60,60
1,0,0,0,0,1,-1,60,60,60
1,0,0,0,1,0,-1,60,60,60
1,0,0,0,1,1,-1,60,60,60
1,0,0,1,0,0,-1,60,60,60
1,0,0,1,0,1,-1,60,60,60
1,0,0,1,1,0,-1,60,60,60
1,0,0,1,1,1,-1,60,60,60
1,0,1,0,0,0,-1,60,60,47
1,0,1,0,0,1,-1,60,60,47
1,0,1,0,1,0,-1,60,60,47
1,0,1,0,1,1,-1,60,60,47
1,0,1,1,0,0,-1,60,60,47
1,0,1,1,0,1,-1,60,60,47
1,0,1,1,1,0,-1,60,60,47
1,0,1,1,1,1,-1,60,60,47
1,1,0,0,0,0,-1,60,60,60
1,1,0,0,0,1,-1,60,60,60
1,1,0,0,1,0,-1,60,60,60
1,1,0,0,1,1,-1,60,60,60
1,1,0,1,0,0,-1,60,60,60
1,1,0,1,0,1,-1,60,60,60
1,1,0,1,1,0,-1,60,60,60
1,1,0,1,1,1,-1,60,60,60
1,1,1,0,0,0,-1,60,60,47
1,1,1,0,0,1,-1,60,60,47
1,1,1,0,1,0,-1,60,60,47
1,1,1,0,1,1,-1,60,60,47
1,1,1,1,0,0,-1,60,60,47
1,1,1,1,0,1,-1,60,60,47
1,1,1,1,1,0,-1,60,60,47
1,1,1,1,1,1,-1,60,60,47
0,-1,1,-1,-1,-1,0,72,72,47
0,-1,0,-1,-1,-1,0,72,72,68
